Total Operating Hours,Total Employees,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,Cluster_DBSCAN,Cluster_GMM,Cluster_Spectral,Cluster_KMeans
0.0,505.0,718.0,18300921.0,1485941.0,1970.0,1244.18,1828524.0,956927.0,0.0,0.0,0.0,271788.0,0.0,0.0,3057239.0,0.0,-1,3,6,4
0.0,497.8,369.0,6370516.0,559062.0,274.0,319.89,837796.0,304876.0,0.0,0.0,0.0,0.0,3122973.0,0.0,1142672.0,3122973.0,0,0,6,0
0.0,407.32,462.0,7075190.0,661629.0,235.0,263.07,1006053.0,309825.0,0.0,207621.0,0.0,0.0,0.0,41205.0,1523499.0,41205.0,0,0,6,0
0.0,506.0,411.0,6607680.0,690943.0,291.0,491.27,1198283.0,135248.0,0.0,0.0,0.0,0.0,654000.0,0.0,1333531.0,654000.0,0,0,4,0
0.0,747.0,177.0,2827631.0,834066.0,124.0,513.8,1707464.0,37131.0,0.0,0.0,0.0,0.0,0.0,0.0,1744595.0,0.0,0,3,1,0
0.0,441.0,1180.0,9263311.0,452319.0,186.0,512.35,196967.0,65268.0,0.0,1678455.0,0.0,0.0,0.0,0.0,1940690.0,0.0,0,3,6,0
0.0,387.0,99.0,4789468.0,531314.0,456.0,298.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
0.0,387.61,546.0,5542073.0,541013.0,420.0,300.64,238988.0,43238.0,0.0,815610.0,0.0,0.0,0.0,59032.0,1097836.0,59032.0,0,0,2,0
0.0,482.0,429.0,8187866.0,1540644.0,466.0,608.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,435.17,477.0,5877870.0,445744.0,143.0,519.3,944563.0,29543.0,0.0,0.0,0.0,0.0,0.0,0.0,974106.0,0.0,0,0,1,0
0.0,416.18,429.0,4498613.0,1022273.0,69.0,1636.83,0.0,0.0,0.0,1506524.0,0.0,0.0,0.0,258194.0,1506524.0,258194.0,0,3,2,0
0.0,412.0,744.0,10377406.0,1907122.0,2500.0,608.56,0.0,250060.0,0.0,2117361.0,0.0,0.0,0.0,0.0,2367421.0,0.0,0,3,6,0
0.0,407.0,290.0,6072190.0,591531.0,154.0,159.11,0.0,160447.0,0.0,1596288.0,0.0,0.0,0.0,46369.0,1756735.0,46369.0,0,3,6,0
0.0,452.5,362.0,4699580.0,348359.0,126.0,149.7,989508.0,0.0,0.0,0.0,0.0,0.0,0.0,36465.0,989508.0,36465.0,0,0,4,0
0.0,334.55,925.0,7813503.0,621711.0,155.0,274.36,463370.0,43107.0,345145.0,1000422.0,0.0,0.0,0.0,0.0,1852044.0,0.0,0,0,3,0
0.0,421.99,960.0,6046657.0,198000.0,101.0,106.21,583748.0,137289.0,85100.0,0.0,0.0,0.0,0.0,0.0,806137.0,0.0,0,0,4,0
0.0,409.5,70.0,2727755.0,958644.0,1970.0,2337.89,0.0,0.0,0.0,0.0,0.0,0.0,13144250.0,0.0,0.0,13144250.0,0,3,1,0
0.0,492.07,1090.0,4712971.0,254183.0,396.0,146.91,1184511.0,34984.0,200715.0,0.0,499845.0,0.0,0.0,30244.0,1920055.0,30244.0,0,0,3,0
0.0,379.26,1734.0,15267132.0,1306574.0,675.0,657.61,2282352.0,36560.0,0.0,0.0,0.0,0.0,15279951.0,122407.0,2318912.0,15402358.0,0,3,1,0
0.0,349.0,44.0,2663396.0,495747.0,59.0,3248.12,0.0,0.0,0.0,0.0,0.0,0.0,24803444.0,0.0,0.0,24803444.0,0,3,1,0
0.0,373.8,652.0,6473169.0,295130.0,136.0,155.83,722549.0,310499.0,0.0,0.0,0.0,0.0,0.0,0.0,1033048.0,0.0,0,0,6,0
0.0,360.98,1072.0,8174668.0,307750.0,616.0,112.21,678312.0,368844.0,0.0,0.0,0.0,0.0,0.0,0.0,1047156.0,0.0,0,3,6,0
0.0,330.0,285.0,4714076.0,472830.0,1120.0,151.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0
0.0,264.19,142.0,3180980.0,192648.0,104.0,431.91,565560.0,95136.0,0.0,0.0,0.0,0.0,0.0,209175.0,660696.0,209175.0,0,0,5,0
0.0,359.08,315.0,3447544.0,135495.0,41.0,46.52,3100.0,54995.0,0.0,0.0,589311.0,0.0,0.0,0.0,647406.0,0.0,0,0,3,0
0.0,330.0,735.0,5407490.0,494593.0,1207.0,212.36,607462.0,322545.0,14219.0,0.0,0.0,0.0,0.0,0.0,944226.0,0.0,0,0,6,0
0.0,350.0,60.0,5119230.0,159726.0,16.0,1898.19,0.0,0.0,0.0,0.0,0.0,0.0,40007603.0,0.0,0.0,40007603.0,0,3,1,0
0.0,311.0,182.0,4098763.0,500977.0,111.0,132.12,0.0,33534.0,0.0,1326073.0,0.0,0.0,0.0,0.0,1359607.0,0.0,0,3,6,0
0.0,312.02,720.0,3808421.0,317600.0,482.0,73.49,659744.0,78324.0,0.0,0.0,0.0,0.0,0.0,632534.0,738068.0,632534.0,0,0,5,0
0.0,295.56,608.0,4963765.0,354320.0,136.0,224.74,759289.0,50214.0,0.0,0.0,0.0,0.0,0.0,232176.0,809503.0,232176.0,0,0,5,0
0.0,402.38,182.0,5249669.0,802178.0,820.0,331.8,536893.0,144689.0,263608.0,0.0,0.0,0.0,0.0,0.0,945190.0,0.0,0,0,3,0
0.0,279.0,200.0,4178048.0,656462.0,237.0,270.81,260563.0,73047.0,0.0,473440.0,146746.0,0.0,0.0,110120.0,953796.0,110120.0,0,0,3,0
0.0,296.0,132.0,3442717.0,367124.0,211.0,396.34,697395.0,93634.0,0.0,0.0,0.0,0.0,0.0,914.0,791029.0,914.0,0,0,4,0
0.0,243.0,354.0,5790622.0,533100.0,324.0,261.55,228448.0,173031.0,0.0,742296.0,0.0,0.0,0.0,0.0,1143775.0,0.0,0,0,6,0
0.0,277.0,258.0,3335381.0,270861.0,445.0,60.45,136385.0,63773.0,0.0,510058.0,0.0,0.0,0.0,54677.0,710216.0,54677.0,0,0,4,0
0.0,269.0,242.0,4359435.0,278653.0,267.0,752.28,662452.0,106581.0,0.0,0.0,0.0,0.0,0.0,0.0,769033.0,0.0,0,0,4,0
0.0,278.0,426.0,3929003.0,163990.0,76.0,87.7,810323.0,97021.0,0.0,0.0,0.0,0.0,0.0,49380.0,907344.0,49380.0,0,0,4,0
